,Name,Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
0,Almen Abdi ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
1,Abdul Rahman Baba ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2,Tammy Abraham ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
3,Charlie Adam ,Midfielder,24,,,19,79%,,12,21,24,9,,110,90,106,12,33,16,,1,3,868,36.17,3,85,32%,7,97,7,0,41,0,1,0,0,1,4,0.04,1,0,40,11,28%,1,,,,,,,,
4,Adam Clayton ,Midfielder,34,,,79,71%,,3,66,40,15,,215,158,156,19,20,17,,1,2,"1,450",42.65,1,23,35%,2,113,10,0,52,0,0,0,0,0,0,0.00,0,0,11,2,18%,0,,,,,,,,
5,Emmanuel Adebayor ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
6,Albert Adomah ,Midfielder,2,,,5,80%,,2,1,0,0,,6,9,18,2,0,5,,0,0,32,16.00,0,9,22%,0,1,0,0,3,0,0,0,0,0,0,0.00,0,0,4,0,0%,1,,,,,,,,
7,Adrián ,Goalkeeper,16,6,25,,,,,,,,,,,,,,,0,1,0,417,26.06,,,,,129,1,0,0,,0,,,,,,,,,,,,53,0,5,16,2,13,56,130
8,Ibrahim Afellay ,Midfielder,12,,,3,67%,,2,4,1,0,,35,20,24,9,1,4,,0,0,189,15.75,1,15,13%,1,4,0,0,3,2,0,0,0,0,0,0.00,0,0,6,1,17%,1,,,,,,,,
9,Benik Afobe ,Forward,31,,,9,,,6,5,19,16,,,,,,,,,,3,297,9.58,2,2,,,,1,0,21,14,6,0,3,3,2,0.19,0,0,39,18,46%,13,,,,,,,,
10,Michael Agazzi ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
11,Sergio Agüero ,Forward,31,,,18,,,37,3,1,1,,,,,,,,,,3,771,24.87,6,17,,,,4,1,23,23,20,2,15,3,2,0.65,4,0,139,53,38%,13,,,,,,,,
12,Daniel Agyei ,Forward,3,,,0,,,0,1,0,0,,,,,,,,,,0,4,1.33,0,0,,,,0,0,1,0,0,0,0,0,0,0.00,0,0,2,0,0%,0,,,,,,,,
13,Ahmed El Mohamady ,Defender,33,3,59,42,81%,0,2,48,90,50,1,186,125,105,11,59,38,1,0,2,"1,372",41.58,2,123,15%,1,70,3,1,22,1,0,0,0,0,0,,,,,,,,,,,,,,,
14,Nathan Aké ,Defender,12,3,20,22,77%,0,2,11,76,45,1,50,48,28,3,21,18,0,0,1,405,33.75,2,2,50%,1,14,1,0,4,0,3,2,0,1,0,,,,,,,,,,,,,,,
15,Chuba Akpom ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
16,Alberto Moreno ,Defender,12,0,7,6,100%,0,1,2,17,6,0,15,17,12,3,2,4,0,0,1,182,15.17,0,13,23%,0,5,1,0,2,0,0,0,0,0,1,,,,,,,,,,,,,,,
17,Marc Albrighton ,Midfielder,33,,,50,80%,,5,35,30,6,,225,125,168,48,7,30,,0,6,874,26.48,8,212,20%,3,56,5,0,21,2,2,0,2,0,0,0.06,0,1,21,7,33%,1,,,,,,,,
18,Toby Alderweireld ,Defender,30,14,17,41,85%,0,5,26,162,84,0,130,92,75,4,42,45,0,1,0,"1,522",50.73,0,6,17%,1,212,1,0,9,0,1,0,1,0,1,,,,,,,,,,,,,,,
19,Aleix García ,Midfielder,4,,,3,67%,,0,4,0,0,,8,8,2,0,1,0,,0,0,97,24.25,0,1,0%,0,4,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
20,Trent Alexander-Arnold ,Defender,7,0,2,4,50%,0,1,3,11,2,0,9,7,10,1,0,1,0,0,0,71,10.14,0,6,17%,0,3,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
21,Allan ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
22,Joe Allen ,Midfielder,36,,,86,58%,,9,62,34,12,,235,201,205,36,22,52,,0,2,"1,286",35.72,7,51,27%,9,47,9,0,27,0,6,1,2,3,0,0.17,0,0,40,18,45%,3,,,,,,,,
23,Dele Alli ,Midfielder,37,,,52,69%,,20,11,17,11,,165,192,272,51,14,26,,0,7,"1,328",35.89,5,22,0%,12,59,4,0,50,11,18,4,9,5,3,0.49,1,0,94,44,47%,11,,,,,,,,
24,Ryan Allsop ,Goalkeeper,1,0,1,,,,,,,,,,,,,,,0,0,0,26,26.00,,,,,4,0,0,0,,0,,,,,,,,,,,,4,0,0,0,0,0,7,11
25,Marcos Alonso ,Defender,31,15,19,56,68%,0,10,44,76,39,0,146,170,132,21,73,41,0,0,3,"1,250",40.32,4,102,17%,2,52,2,0,25,3,6,1,1,4,4,,,,,,,,,,,,,,,
26,Paulo Alves ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
27,Daniel Amartey ,Defender,24,4,35,41,61%,0,3,25,33,18,0,153,85,104,2,33,32,0,0,1,782,32.58,0,3,33%,0,38,3,0,30,0,1,1,0,0,0,,,,,,,,,,,,,,,
28,Marco Amelia ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
29,Luke Amos ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
30,Tom Anderson ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
31,Andreas Pereira ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
32,Angel Gomes ,Midfielder,1,,,0,0%,,0,0,0,0,,0,0,1,0,0,0,,0,0,13,13.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
33,Angeliño ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
34,Victor Anichebe ,Forward,18,,,9,,,13,8,30,23,,,,,,,,,,0,366,20.33,0,37,,,,2,0,27,6,3,0,1,2,1,0.17,0,0,30,9,30%,1,,,,,,,,
35,Michail Antonio ,Forward,29,,,32,84%,,21,27,38,16,,101,212,258,75,57,104,,1,3,638,22.00,3,94,26%,3,29,4,1,31,20,9,7,1,2,2,0.31,0,0,77,23,30%,7,,,,,,,,
36,Ikechi Anya ,Midfielder,1,,,0,0%,,0,0,0,0,,1,0,0,0,0,0,,0,0,3,3.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
37,Álvaro Arbeloa ,Defender,3,0,9,5,80%,0,0,9,7,4,0,17,12,10,0,4,1,0,0,0,104,34.67,0,6,17%,0,3,3,0,5,0,0,0,0,0,0,,,,,,,,,,,,,,,
38,Scott Arfield ,Midfielder,31,,,36,78%,,18,33,27,11,,136,88,172,15,23,40,,0,0,621,20.03,1,70,46%,4,23,3,0,37,3,1,0,0,1,0,0.03,0,0,44,7,16%,2,,,,,,,,
39,Giedrius Arlauskis ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
40,Marko Arnautovic ,Forward,32,,,32,,,17,25,20,4,,,,,,,,,,5,861,26.91,8,110,,,,9,1,41,32,6,0,5,1,2,0.19,0,0,60,19,32%,12,,,,,,,,
41,Harry Arter ,Midfielder,35,,,83,75%,,14,48,31,7,,196,158,145,25,5,8,,1,4,"2,004",57.26,2,21,19%,7,167,11,1,34,0,1,0,1,0,2,0.03,0,0,54,11,20%,2,,,,,,,,
42,Mikel Arteta ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
43,Joel Asoro ,Forward,1,,,0,,,0,0,0,0,,,,,,,,,,0,1,1.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
44,Christian Atsu ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
45,Charlie Austin ,Forward,15,,,14,,,5,4,13,10,,,,,,,,,,1,255,17.00,2,9,,,,1,0,14,8,6,1,4,1,2,0.40,2,0,37,17,46%,3,,,,,,,,
46,Daniel Ayala ,Defender,14,3,16,11,45%,0,0,27,68,38,0,57,49,44,0,36,19,0,0,0,380,27.14,0,6,17%,1,38,3,0,15,1,1,1,0,0,0,,,,,,,,,,,,,,,
47,Jordan Ayew ,Forward,14,,,14,,,2,7,5,2,,,,,,,,,,3,240,17.14,2,19,,,,1,0,18,6,1,1,0,0,1,0.07,0,0,12,6,50%,0,,,,,,,,
48,César Azpilicueta ,Defender,38,16,33,84,75%,0,2,71,119,79,0,206,199,142,12,81,69,0,0,4,"2,459",64.71,1,41,17%,10,116,4,0,27,2,1,0,1,0,0,,,,,,,,,,,,,,,
49,Daniel Bachmann ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
50,Eric Bailly ,Defender,25,12,15,60,72%,1,2,60,126,60,0,172,136,77,14,37,30,0,0,0,876,35.04,0,2,0%,0,59,4,0,28,0,0,0,0,0,1,,,,,,,,,,,,,,,
51,Leighton Baines ,Defender,32,11,34,63,70%,2,3,45,65,39,1,161,129,117,12,27,34,0,0,3,"1,309",40.91,1,112,29%,1,76,4,0,35,0,2,0,0,2,1,,,,,,,,,,,,,,,
52,Lewis Baker ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
53,Courtney Baker-Richardson ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
54,Mario Balotelli ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
55,Patrick Bamford ,Forward,14,,,9,,,3,4,3,1,,,,,,,,,,0,82,5.86,0,4,,,,1,0,12,2,1,1,0,0,0,0.07,0,0,7,3,43%,1,,,,,,,,
56,Alex Baptiste ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
57,Phil Bardsley ,Defender,15,2,17,32,81%,0,1,27,27,9,0,65,59,61,3,8,16,0,0,0,397,26.47,2,28,29%,0,30,4,1,25,0,0,0,0,0,0,,,,,,,,,,,,,,,
58,Brandon Barker ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
59,Ross Barkley ,Midfielder,36,,,30,83%,,27,10,35,29,,163,171,257,62,42,40,,0,8,"1,651",45.86,9,113,26%,10,111,5,0,49,8,5,1,3,1,1,0.14,0,1,89,30,34%,5,,,,,,,,
60,Ashley Barnes ,Forward,28,,,21,,,8,4,25,15,,,,,,,,,,2,448,16.00,3,7,,,,6,1,53,21,6,0,4,2,0,0.21,2,0,45,19,42%,2,,,,,,,,
61,Antonio Barragán ,Defender,26,7,32,72,74%,0,1,59,70,33,1,131,129,86,16,21,22,0,0,0,"1,027",39.50,1,71,24%,1,62,5,0,27,1,0,0,0,0,0,,,,,,,,,,,,,,,
62,Modou Barrow ,Forward,18,,,22,,,2,6,7,1,,,,,,,,,,2,299,16.61,3,59,,,,1,0,15,10,0,0,0,0,0,0.00,0,0,15,3,20%,1,,,,,,,,
63,Gareth Barry ,Midfielder,33,,,70,69%,,5,35,57,32,,165,136,119,12,32,24,,0,1,"1,376",41.70,1,22,23%,6,100,10,0,48,1,2,1,0,1,0,0.06,0,0,17,7,41%,0,,,,,,,,
64,Kyle Bartley ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
65,Joey Barton ,Midfielder,14,,,43,72%,,5,20,19,10,,92,95,83,6,29,21,,0,0,576,41.14,1,9,33%,3,50,4,0,20,0,1,0,1,0,0,0.07,0,1,12,3,25%,0,,,,,,,,
66,Michy Batshuayi ,Forward,20,,,2,,,6,2,1,1,,,,,,,,,,1,80,4.00,0,2,,,,0,0,9,4,5,0,2,3,1,0.25,0,0,17,8,47%,2,,,,,,,,
67,Daniel Batty ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
68,Nathan Baxter ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
69,Asmir Begovic ,Goalkeeper,2,0,5,,,,,,,,,,,,,,,0,0,0,46,23.00,,,,,9,0,0,0,,0,,,,,,,,,,,,1,0,0,0,0,0,9,16
70,Valon Behrami ,Midfielder,27,,,73,75%,,0,33,22,7,,120,139,103,6,20,14,,0,0,732,27.11,1,3,33%,1,27,7,0,30,0,0,0,0,0,0,0.00,0,0,6,0,0%,0,,,,,,,,
71,Essaïd Belkalem ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
72,Héctor Bellerín ,Defender,33,10,34,24,79%,1,6,36,46,24,0,146,113,133,45,31,43,0,0,4,"1,392",42.18,3,69,16%,8,21,4,0,20,0,1,0,1,0,1,,,,,,,,,,,,,,,
73,Yohan Benalouane ,Defender,11,4,15,17,71%,0,1,26,56,33,0,49,40,46,3,18,23,0,0,0,188,17.09,0,0,0%,0,16,4,0,15,0,0,0,0,0,0,,,,,,,,,,,,,,,
74,Ismael Bennacer ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
75,Nabil Bentaleb ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
76,Christian Benteke ,Forward,36,,,9,,,17,6,48,39,,,,,,,,,,2,920,25.56,1,0,,,,10,0,81,36,15,7,6,2,4,0.42,2,0,105,40,38%,12,,,,,,,,
77,Saido Berahino ,Forward,17,,,9,,,4,1,2,1,,,,,,,,,,0,168,9.88,2,1,,,,1,0,20,8,0,0,0,0,0,0.00,0,0,19,9,47%,4,,,,,,,,
78,Steven Berghuis ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
79,Ryan Bertrand ,Defender,28,12,36,37,62%,0,6,45,46,30,0,140,126,119,14,42,44,0,0,4,"1,307",46.68,3,99,15%,2,35,3,0,24,2,2,1,0,1,0,,,,,,,,,,,,,,,
80,Muhamed Besic ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
81,Krystian Bielik ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
82,Mark Birighitti ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
83,Jamal Blackman ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
84,Daley Blind ,Defender,23,8,17,45,73%,0,5,44,108,49,0,120,90,58,7,25,22,0,0,2,"1,040",45.22,3,87,28%,1,66,2,0,14,0,1,0,0,1,0,,,,,,,,,,,,,,,
85,Hiram Boateng ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
86,Jeremie Boga ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
87,Adam Bogdan ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
88,Bojan ,Forward,9,,,8,,,1,3,5,2,,,,,,,,,,0,188,20.89,0,25,,,,1,0,4,0,3,0,3,0,1,0.33,2,0,10,4,40%,1,,,,,,,,
89,Marc Bola ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
90,Yannick Bolasie ,Forward,14,,,18,,,7,3,8,7,,,,,,,,,,4,291,20.79,8,84,,,,3,0,24,3,1,0,1,0,0,0.07,0,0,27,6,22%,1,,,,,,,,
91,Wilfried Bony ,Forward,10,,,5,,,7,3,10,8,,,,,,,,,,0,212,21.20,1,1,,,,1,0,11,2,2,1,1,0,0,0.20,0,0,21,5,24%,1,,,,,,,,
92,Fabio Borini ,Forward,24,,,20,,,10,23,27,11,,,,,,,,,,0,503,20.96,0,37,,,,5,0,27,0,2,0,2,0,0,0.08,0,0,33,14,42%,2,,,,,,,,
