,Name,Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
0,Max Aarons ,Defender,36,5,71,48,63%,0,6,37,73,28,2,178,167,175,48,22,50,0,0,1,"1,339",37.19,7,73,22%,0,38,7,0,29,3,0,0,0,0,0,,,,,,,,,,,,,,,
1,Abdul Rahman Baba ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2,Tammy Abraham ,Forward,34,,,8,,,14,6,27,23,,,,,,,,,,3,407,11.97,3,11,,,,2,0,17,23,15,3,12,0,3,0.44,0,0,88,40,45%,22,,,,,,,,
3,Che Adams ,Forward,30,,,6,,,14,2,9,3,,,,,,,,,,2,248,8.27,5,13,,,,0,0,17,10,4,0,4,0,1,0.13,0,0,36,10,28%,8,,,,,,,,
4,Dennis Adeniran ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
5,Albert Adomah ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
6,Adrián ,Goalkeeper,11,2,10,,,,,,,,,,,,,,,0,2,0,260,23.64,,,,,50,1,0,0,,0,,,,,,,,,,,,18,0,4,5,1,9,51,70
7,Adrien Silva ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
8,Daniel Adshead ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
9,Benik Afobe ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
10,Sergio Agüero ,Forward,24,,,7,,,22,3,2,0,,,,,,,,,,3,354,14.75,4,9,,,,1,0,9,6,16,2,12,2,5,0.67,2,0,76,28,37%,12,,,,,,,,
11,Daniel Agyei ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
12,Soufyan Ahannach ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
13,Ahmed El Mohamady ,Defender,18,2,28,19,47%,0,1,13,22,10,0,73,60,51,7,30,21,0,0,1,498,27.67,3,58,33%,0,33,1,0,13,2,1,1,0,0,0,,,,,,,,,,,,,,,
14,Albian Ajeti ,Forward,9,,,1,,,2,0,0,0,,,,,,,,,,0,15,1.67,0,0,,,,0,0,6,2,0,0,0,0,0,0.00,0,0,3,0,0%,0,,,,,,,,
15,Nathan Aké ,Defender,29,4,46,31,68%,0,6,36,147,78,0,140,107,83,3,62,63,0,0,2,"1,210",41.72,2,5,0%,1,53,2,0,9,3,2,1,0,1,1,,,,,,,,,,,,,,,
16,Alberto Moreno ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
17,Marc Albrighton ,Midfielder,20,,,24,71%,,3,10,7,4,,67,52,63,14,3,7,,0,3,407,20.35,5,69,16%,3,23,2,0,7,1,0,0,0,0,1,0.00,0,0,10,2,20%,0,,,,,,,,
18,Toby Alderweireld ,Defender,33,7,39,40,73%,0,3,31,170,82,1,154,117,109,0,73,73,1,0,2,"1,978",59.94,2,9,44%,12,141,7,0,18,1,2,1,1,0,0,,,,,,,,,,,,,,,
19,Aleix García ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
20,Trent Alexander-Arnold ,Defender,38,12,32,55,62%,1,17,45,70,29,0,221,100,135,21,16,30,0,1,13,"2,440",64.21,18,382,21%,5,192,5,0,22,3,4,0,4,0,0,,,,,,,,,,,,,,,
